row_index,product_code,type_code,name,family_code,brand_1,brand_2
0,Code Produit,Ty,Libell?,Code,Observations,
1,0001,02,AMINEXIL  10 X 6ML,0200,KERASTASE,KERASTASE
2,0002,02,AMINEXIL 42 X 6ML,0200,KERASTASE,KERASTASE
3,0937,02,STRUCTURE SHAPER 100ML,0207,JOICO,JOICO
4,0938,02,STRUCTURE GLAMTEX 150ML,0207,JOICO,JOICO
5,0007,02,BAIN FORCE ARCHIT. 1-2  250 ML,0200,KERASTASE,KERASTASE
6,0011,02,BAIN DIVALENT  250ML,0200,KERASTASE,KERASTASE
7,0012,02,BAIN OLEO-RELAX 250ML,0200,KERASTASE,KERASTASE
8,0013,02,BAIN  PREVENTION 250ML,0200,KERASTASE,KERASTASE
9,0014,02,BAIN RICHE DERMO-CALM 250ML,0200,KERASTASE,KERASTASE
10,0016,02,BAIN SATIN  2 250ML,0200,KERASTASE,KERASTASE
11,0018,02,BAIN VITAL DERMO-CALM  250 ML,0200,KERASTASE,KERASTASE
12,1096,02,ELIXIR ULTIME OLEJEK 75 ML,0200,KERASTASE,KERASTASE
13,0273,02,INSTANT CLEAR 300 ML,0201,LOREAL,LOREAL
14,0022,02,CIMENT ANTI ? USURE 1-2  200ML,0200,KERASTASE,KERASTASE
15,0023,02,BAIN  DENSITE  250 ML,0200,KERASTASE,KERASTASE
16,0024,02,MASKA DENSITE 200 ML,0200,KERASTASE,KERASTASE
17,0026,02,OLEJEK DISC. OLEO RELAX 100 ML,0200,KERASTASE,
18,0027,02,BAIN THERAPISTE 3-4  250 ML,0200,KERASTASE,KERASTASE
19,0051,02,DENSIFIQUE HOMME 30X6,0200,KERASTASE,KERASTASE
20,0030,02,LAIT VITAL 200ML,0200,KERASTASE,KERASTASE
21,0031,02,MASKA THERAPISTE 200 ML,0200,KERASTASE,KERASTASE
22,0032,02,SERUM THERAPISTE 30 ML,0200,KERASTASE,KERASTASE
23,0034,02,BAIN FLUIDEALISTE 250 ML,0200,KERASTASE,KERASTASE
24,0035,02,BAIN FLUIDEAL BEZ SIARCZ.250ML,0200,KERASTASE,KERASTASE
25,0036,02,BALSAM FONDANT FL. 200ML,0200,KERASTASE,KERASTASE
26,0037,02,MASKA -MASKERATINE 200 ML,0200,KERASTASE,KERASTASE
27,0038,02,KERATINE TERMIQUE 150 ML,0200,KERASTASE,KERASTASE
28,0039,02,SERUM MLODOSCI JEUNESSE 100ML,0200,KERASTASE,KERASTASE
29,0279,02,POWDER IN LOTION 150 ML,0201,LOREAL,LOREAL
30,0280,02,FIX ANTIFRIZZ COMPRESSED 125 M,0201,LOREAL,LOREAL
31,0281,02,BOUNCY AND TENDER 150 ML,0201,LOREAL,LOREAL
32,0044,02,MASKA INTENSE WL. CIENK 200ML,0200,KERASTASE,KERASTASE
33,0282,02,SLEEK AND SWING 150ML,0201,LOREAL,LOREAL
34,0046,02,MASKA ODZYWCZA WL. GRUBE 200 M,0200,KERASTASE,KERASTASE
35,0283,02,LISS AND PUMP UP 150 ML,0201,LOREAL,LOREAL
36,0270,02,ABSOLUT LIPIDIUM SERUM 30 ML,0201,LOREAL,LOREAL
37,0050,02,DENSIFIQUE FEEME 30X6,0200,KERASTASE,KERASTASE
38,0052,02,BAIN HOMME DENSITE 250 ML,0200,KERASTASE,KERASTASE
39,0274,02,BLONDIFIER  SZAMPON GLOSS 300,0201,LOREAL,
40,0275,02,BLONDIFIER  SZAMPON COOL 300 M,0201,LOREAL,LOREAL
41,0276,02,BLONDIFIER ODZYWKA 200ML,0201,LOREAL,LOREAL
42,1040,02,*4 I *5 ZESTAW BOND MAITENANCE,0209,OLAPLEX,OLAPLEX
43,0064,02,SERUM INITIALISTE 60ML,0200,KERASTASE,KERASTASE
44,0277,02,BLONDIFIER MASKA  250 ML,0201,LOREAL,LOREAL
45,0077,02,CEMENT TERMICZNY 150 ML,0200,KERASTASE,KERASTASE
46,0278,02,BLOND BESTIE 150 ML,0201,LOREAL,LOREAL
47,0084,02,MASKA OLEO-RELAX 200 ML,0200,KERASTASE,KERASTASE
48,0268,02,INFORCER  ODZYWKA 200ML,0201,LOREAL,LOREAL
49,0269,02,INFORCER LEVEN IN 150 ML,0201,LOREAL,LOREAL
50,1000,02,PARASOL DO ZESTAWU,0210,LUCIANO PIERANTONI,LUCIANO PIERANTONI
51,0271,02,VOLUM INFLATOR  SPRAY  250 ML,0201,LOREAL,LOREAL
52,0099,02,NEKTAR TERMICZNY 150ML,0200,KERASTASE,KERASTASE
53,0100,02,VOLUMETRY SPRAY 125 ML,0201,LOREAL,
54,0265,02,MASKA EXTENTIONISTE  200 ML,0200,KERASTASE,KERASTASE
55,0266,02,SERUM EXTENTIONISTE 50 ML,0200,KERASTASE,KERASTASE
56,0103,02,LISS UNLIMITED SZAMPON 250ML,0201,LOREAL,LOREAL
57,0104,02,LISS UNLIMITED MASKA 200 ML,0201,LOREAL,
58,0111,02,FIX ANTI FRIZZ 400ML,0201,LOREAL,LOREAL
