row_index,product_code,location_code,date_token,time_token,qty_token_raw
0,0151,01,20251004,1110,$@87
1,0166,01,20251004,0948,n@41
2,0183,01,20251004,0036,?j@41
3,0189,01,20251004,1104,?c@24
4,0194,01,20251005,1109,$@27
5,0195,01,20251005,1109,$@12
6,0204,01,20251005,1109,$@27
7,0212,01,20251005,1091,pq@41
8,0252,01,20251006,0037,?p@48
9,0416,01,20251009,1081,?H@48
10,0502,01,20251010,0013,?c@14
11,0502,03,20251010,0248,?r@14
12,0502,02,20251010,0983,?p@14
13,0503,01,20251010,0909,?f@12
14,0520,01,20251011,0001,@r@48
15,0575,01,20251012,1055,?M@41
16,0603,01,20251013,1081,?H@48
17,0613,01,20251013,1062,?H@31
18,0653,01,20251014,0013,?c@21
19,0732,01,20251015,1112,?l@31
20,0749,01,20251016,1096,r@14
21,0803,01,20251016,1057,?H@21
22,0803,02,20251016,1061,?M@21
23,0824,01,20251017,0032,n@06
24,0840,01,20251017,1006,?j@48
25,0841,01,20251017,1058,?M@12
26,0904,01,20251018,0508,@12
27,0905,01,20251018,1106,?l@35
28,0974,01,20251020,1038,?p@30
29,0987,01,20251020,1057,?H@21
30,0987,02,20251020,1058,?M@21
31,1047,01,20251022,1107,?j@16
32,1060,01,20251022,1061,?M@12
33,1097,01,20251022,0981,?c@35
34,1117,01,20251023,1099,g@12
35,1118,01,20251023,1052,H@06
36,1123,01,20251023,1109,$@14
37,1144,01,20251023,1052,?H@06
38,1164,01,20251024,1111,$@87
39,1233,01,20251025,1109,$@86
40,1234,01,20251025,1051,@Q@06
41,1235,01,20251025,0031,?p@21
42,1264,01,20251026,0508,@98
43,1286,01,20251027,0981,?c@06
44,1286,02,20251027,0983,?p@06
45,1340,01,20251027,1090,?c@31
46,1356,01,20251028,1056,@Q@30
47,1357,02,20251028,1048,?H@24
48,1357,01,20251028,1050,@Q@24
49,1386,01,20251029,1052,?H@06
50,1387,01,20251029,1083,?K@06
51,1388,01,20251029,1048,?H@12
52,1388,02,20251029,1058,?M@12
53,1398,01,20251029,1111,$@87
54,1430,01,20251029,1080,?K@14
55,1437,01,20251029,0508,@98
56,1453,01,20251030,0508,@98
57,1466,01,20251030,1038,?p@48
58,1497,01,20251030,0245,?c@31
59,1534,01,20251031,0980,?j@12
60,0006,01,20251102,1107,?j@16
61,0039,01,20251103,0034,?c@30
62,0039,02,20251103,0038,?j@30
63,0039,03,20251103,0084,?p@30
64,0135,01,20251105,1114,?l@31
65,0225,01,20251107,1099,g@12
66,0225,02,20251107,0945,?c@12
67,0225,03,20251107,0984,?j@12
68,0226,01,20251107,1104,?c@35
69,0226,02,20251107,1105,`h@35
