row_index,ticket_code,line_code,channel_code,kind_flag,date_token,worker_code,qty_token,state_flag,service_code,meta_1,meta_2,group_code,price_token_raw
0,0001,01,05,R,20260201,55,3,O,0003,1,2,00,2@
1,0001,02,05,R,20260201,55,3,O,0022,1,1,01,@
2,0001,03,05,R,20260201,41,2,O,0042,1,2,03,I@
3,0001,04,05,R,20260201,41,2,O,0076,1,1,06,h@
4,0001,05,05,R,20260201,41,2,O,0078,1,1,06,9@
5,0001,06,05,R,20260201,41,2,O,0053,1,2,12,@
6,0001,07,05,R,20260201,41,2,O,0007,1,2,02,@V@
7,0002,01,05,R,20260201,48,2,O,0001,1,2,00,5@
8,0002,02,05,R,20260201,48,2,O,0010,1,2,02,?K@
9,0002,03,05,R,20260201,48,2,O,0022,1,1,01,@
10,0002,04,05,R,20260201,48,2,O,0043,1,2,03,?H@
11,0002,05,05,R,20260201,48,2,O,0053,1,2,12,@
12,0003,01,05,R,20260201,21,2,O,0101,2,2,00,5@
13,0003,02,05,R,20260201,21,2,O,0110,2,2,02,@Q@
14,0003,03,05,R,20260201,21,2,O,0147,2,2,03,"""@"
15,0003,04,05,R,20260201,21,2,O,0150,2,2,12,@
16,0004,01,05,R,20260201,30,2,O,0001,1,2,00,5@
17,0004,02,05,R,20260201,30,2,O,0022,1,1,01,@
18,0004,03,05,R,20260201,30,2,O,0041,1,2,03,?Q@
19,0004,04,05,R,20260201,30,2,O,0053,1,2,12,@
20,0005,01,05,R,20260201,55,3,O,0001,1,2,00,5@
21,0005,02,05,R,20260201,55,3,O,0022,1,1,01,@
22,0005,03,05,R,20260201,21,2,O,0042,1,2,03,?Q@
23,0005,04,05,R,20260201,21,2,O,0053,1,2,12,@
24,0006,01,05,R,20260201,30,2,O,0001,1,2,00,5@
25,0006,02,05,R,20260201,30,2,O,0022,1,1,01,@
26,0006,03,05,R,20260201,30,2,O,0042,1,2,03,?Q@
27,0006,04,05,R,20260201,30,2,O,0053,1,2,12,@
28,0007,01,05,R,20260201,48,2,O,0001,1,2,00,5@
29,0007,02,05,R,20260201,48,2,O,0022,1,1,01,@
30,0007,03,05,R,20260201,48,2,O,0042,1,2,03,?Q@
31,0007,04,05,R,20260201,48,2,O,0053,1,2,12,@
32,0008,01,05,R,20260201,55,3,O,0003,1,2,00,2@
33,0008,02,05,R,20260201,55,3,O,0022,1,1,01,@
34,0008,03,05,R,20260201,41,2,O,0042,1,2,03,I@
35,0008,04,05,R,20260201,41,2,O,0076,1,1,06,h@
36,0008,05,05,R,20260201,55,3,O,0078,1,1,06,9@
37,0008,06,05,R,20260201,41,2,O,0007,1,2,02,@V@
38,0008,07,05,R,20260201,41,2,O,0013,1,1,09,?]@
39,0008,08,05,R,20260201,41,2,O,0025,1,1,09,&@
40,0008,09,05,R,20260201,55,3,O,0029,1,1,09,4@
41,0008,10,05,R,20260201,41,2,O,0053,1,2,12,@
42,0009,01,05,R,20260201,48,2,O,0101,2,2,00,2@
43,0009,02,05,R,20260201,48,2,O,0109,2,2,02,?K@
