bundle_code,bundle_tariff_code,bundle_family_code,bundle_name_legacy,valid_from_legacy
0001,3333,05,PAKIET WL DL,20251001
0002,3555,05,PROM.W GODZ 7-13 PANI,20251001
0003,3555,05,PROM.W GODZ 7-13 PANI,20251001
0004,3555,05,PROM.W GODZ 7-13 PANI,20251001
0005,3555,05,PROM.W GODZ 7-13 PANI,20251001
0006,3555,05,PROM.W GODZ 7-13 PANI,20251001
0007,3333,05,PAKIET WL DL,20251001
0008,3555,05,PROM.W GODZ 7-13 PANI,20251001
0009,3555,05,PROM.W GODZ 7-13 PANI,20251001
0010,3555,05,PROM.W GODZ 7-13 PANI,20251001
0011,3555,05,PROM.W GODZ 7-13 PANI,20251001
0012,3555,05,PROM.W GODZ 7-13 PANI,20251001
0013,3555,05,PROM.W GODZ 7-13 PANI,20251001
0014,3333,05,PAKIET WL DL,20251001
0015,3555,05,PROM.W GODZ 7-13 PANI,20251001
0016,3345,05,KOLOR WL SR+CZESANIE,20251001
0018,3333,05,PAKIET WL DL,20251001
0019,3333,05,PAKIET WL DL,20251001
0020,3651,05,STRZ NOWA WLOSKA KOLEKCJA,20251001
0021,3333,05,PAKIET WL DL,20251001
0022,3651,05,STRZ NOWA WLOSKA KOLEKCJA,20251001
0023,3333,05,PAKIET WL DL,20251001
0024,3336,05,PAKIET  WL DL,20251001
0025,3333,05,PAKIET WL DL,20251001
0026,3643,05,MASKA KERASTASE DO PAKIETU,20251001
0027,3345,05,KOLOR WL SR+CZESANIE,20251001
0028,3643,05,MASKA KERASTASE DO PAKIETU,20251001
0029,3345,05,KOLOR WL SR+CZESANIE,20251001
0030,3355,05,PASEMKA WL DL+CZES,20251001
0031,3336,05,PAKIET  WL DL,20251001
0032,3336,05,PAKIET  WL DL,20251001
0034,3337,05,PAKIET  PAN,20251001
0035,3336,05,PAKIET  WL DL,20251001
0036,3643,05,MASKA KERASTASE DO PAKIETU,20251001
0037,3345,05,KOLOR WL SR+CZESANIE,20251001
0037,3652,05,STRZ DO PAKIETU,20251001
0038,3459,05,PASEMKA + 1 KOLOR WL.DL,20251001
0039,3643,05,MASKA KERASTASE DO PAKIETU,20251001
0040,3346,05,KOLOR WL DL+CZESANIE,20251001
0041,3458,05,PASEMKA + 1 KOLOR WL.SR,20251001
0042,3332,05,PAKIET  WL SR,20251001
0043,3364,05,CZESANIE ASYSTENT,20251001
0044,3336,05,PAKIET  WL DL,20251001
0045,3337,05,PAKIET  PAN,20251001
0046,3459,05,PASEMKA + 1 KOLOR WL.DL,20251001
0047,3459,05,PASEMKA + 1 KOLOR WL.DL,20251001
0047,3652,05,STRZ DO PAKIETU,20251001
0048,3343,05,DZIEWCZYNKA DO 18 LAT,20251001
0049,3337,05,PAKIET  PAN,20251002
0050,3332,05,PAKIET  WL SR,20251002
0051,3555,05,PROM.W GODZ 7-13 PANI,20251002
0052,3337,05,PAKIET  PAN,20251002
0053,3332,05,PAKIET  WL SR,20251002
0055,3332,05,PAKIET  WL SR,20251002
0056,3337,05,PAKIET  PAN,20251002
0057,3332,05,PAKIET  WL SR,20251002
0058,3345,05,KOLOR WL SR+CZESANIE,20251002
0061,3555,05,PROM.W GODZ 7-13 PANI,20251002
0062,3346,05,KOLOR WL DL+CZESANIE,20251002
0063,3555,05,PROM.W GODZ 7-13 PANI,20251002
0064,3555,05,PROM.W GODZ 7-13 PANI,20251002
0065,3555,05,PROM.W GODZ 7-13 PANI,20251002
0066,3643,05,MASKA KERASTASE DO PAKIETU,20251002
0067,3555,05,PROM.W GODZ 7-13 PANI,20251002
0069,3345,05,KOLOR WL SR+CZESANIE,20251002
0069,3637,05,PIELEGNACJA MOLECULAR,20251002
0070,3555,05,PROM.W GODZ 7-13 PANI,20251002
0071,3555,05,PROM.W GODZ 7-13 PANI,20251002
0073,3337,05,PAKIET  PAN,20251002
0074,3651,05,STRZ NOWA WLOSKA KOLEKCJA,20251002
0075,3338,05,PAKIET STUDENTKA,20251002
0076,3333,05,PAKIET WL DL,20251002
0077,3334,05,PAKIET WL KR,20251002
0078,3355,05,PASEMKA WL DL+CZES,20251002
0079,3337,05,PAKIET  PAN,20251002
0080,3364,05,CZESANIE ASYSTENT,20251002
0081,3335,05,PAKIET  WL SR,20251002
0082,3346,05,KOLOR WL DL+CZESANIE,20251002
0082,3608,05,DOP£ATA LOREAL,20251002
0082,3652,05,STRZ DO PAKIETU,20251002
0083,3643,05,MASKA KERASTASE DO PAKIETU,20251002
0084,3651,05,STRZ NOWA WLOSKA KOLEKCJA,20251002
0085,3360,05,KOLOR Z BALEYAGE WL. SR,20251002
0086,3345,05,KOLOR WL SR+CZESANIE,20251002
0087,3353,05,PASEMKA WL KR+CZES,20251002
0087,3555,05,PROM.W GODZ 7-13 PANI,20251002
0089,3346,05,KOLOR WL DL+CZESANIE,20251002
0090,3651,05,STRZ NOWA WLOSKA KOLEKCJA,20251002
0091,3343,05,DZIEWCZYNKA DO 18 LAT,20251002
0092,3331,05,PAKIET  WL KR,20251003
0093,3364,05,CZESANIE ASYSTENT,20251003
0094,3331,05,PAKIET  WL KR,20251003
0095,3331,05,PAKIET  WL KR,20251003
0096,3337,05,PAKIET  PAN,20251003
0097,3364,05,CZESANIE ASYSTENT,20251003
0098,3555,05,PROM.W GODZ 7-13 PANI,20251003
0099,3555,05,PROM.W GODZ 7-13 PANI,20251003
0100,3364,05,CZESANIE ASYSTENT,20251003
0101,3555,05,PROM.W GODZ 7-13 PANI,20251003
0102,3331,05,PAKIET  WL KR,20251003
0103,3332,05,PAKIET  WL SR,20251003
0105,3555,05,PROM.W GODZ 7-13 PANI,20251003
0106,3555,05,PROM.W GODZ 7-13 PANI,20251003
0107,3364,05,CZESANIE ASYSTENT,20251003
0108,3360,05,KOLOR Z BALEYAGE WL. SR,20251003
0109,3337,05,PAKIET  PAN,20251003
0110,3555,05,PROM.W GODZ 7-13 PANI,20251003
0111,3555,05,PROM.W GODZ 7-13 PANI,20251003
0112,3336,05,PAKIET  WL DL,20251003
0113,3346,05,KOLOR WL DL+CZESANIE,20251003
0113,3652,05,STRZ DO PAKIETU,20251003
0114,3555,05,PROM.W GODZ 7-13 PANI,20251003
0115,3332,05,PAKIET  WL SR,20251003
0116,3651,05,STRZ NOWA WLOSKA KOLEKCJA,20251003
0117,3336,05,PAKIET  WL DL,20251003
0119,3344,05,KOLOR WL KR+ CZESANIE,20251003
0120,3643,05,MASKA KERASTASE DO PAKIETU,20251003
0121,3332,05,PAKIET  WL SR,20251003
0123,3364,05,CZESANIE ASYSTENT,20251003
0124,3345,05,KOLOR WL SR+CZESANIE,20251003
0125,3643,05,MASKA KERASTASE DO PAKIETU,20251003
0127,3336,05,PAKIET  WL DL,20251003
0129,3332,05,PAKIET  WL SR,20251003
0130,3458,05,PASEMKA + 1 KOLOR WL.SR,20251003
0130,3608,05,DOP£ATA LOREAL,20251003
0131,3346,05,KOLOR WL DL+CZESANIE,20251003
0132,3357,05,BAL 2 KOL WL SR,20251003
0132,3652,05,STRZ DO PAKIETU,20251003
0133,3458,05,PASEMKA + 1 KOLOR WL.SR,20251003
0134,3336,05,PAKIET  WL DL,20251003
0135,3336,05,PAKIET  WL DL,20251003
0135,3574,05,MASKA+ AMP +BOS,20251003
0136,3335,05,PAKIET  WL SR,20251003
0137,3335,05,PAKIET  WL SR,20251003
0137,3574,05,MASKA+ AMP +BOS,20251003
0138,3362,05,CZES. WL.PRZEDLUZANYCH,20251004
0139,3355,05,PASEMKA WL DL+CZES,20251004
0140,3336,05,PAKIET  WL DL,20251004
0141,3335,05,PAKIET  WL SR,20251004
0142,3337,05,PAKIET  PAN,20251004
0143,3331,05,PAKIET  WL KR,20251004
0144,3337,05,PAKIET  PAN,20251004
0145,3343,05,DZIEWCZYNKA DO 18 LAT,20251004
0146,3346,05,KOLOR WL DL+CZESANIE,20251004
0148,3331,05,PAKIET  WL KR,20251004
0149,3333,05,PAKIET WL DL,20251004
0150,3331,05,PAKIET  WL KR,20251004
0152,3340,05,CHLOPIEC DO 6LAT,20251004
0153,3336,05,PAKIET  WL DL,20251004
0154,3341,05,CHLOPIEC NAST. DO 18LAT,20251004
0155,3337,05,PAKIET  PAN,20251004
