service_code,group_a,group_b,name_legacy,price_legacy
0001,1,2,MYCIE LP,"11,50"
0002,1,2,MYCIE LECZNICZE,"11,50"
0003,1,2,MYCIE TECHNICZNE,"11,50"
0004,1,2,MYCIE SPECJALNE,"15,00"
0006,1,2,MYCIE BE COLOR,"34,00"
0008,1,2,WYROWNANIE-GRZYWKA,"25,00"
0123,2,1,BOSTER RECONSTRUCTION,"44,00"
0012,1,1,KONCENTRAT OLEO-FUSION,"62,00"
0013,1,1,KONCENTRAT DENSIF/ CHROMA ABSO,"62,00"
0014,1,1,KONCENTRAT VITA-CEMENT,"62,00"
0015,1,1,AMPULKA AMINEXIL,"62,00"
0016,1,1,BOTOX KERASTASE,"62,00"
0017,1,1,KONCENTRAT BLOND UV,"42,00"
0019,1,1,NAKLADANIE MASKA,"5,00"
0020,1,1,MASKA KERASTASE,"50,00"
0022,1,1,ODZYWKA LUCIANO PIERANTONI,"3,00"
0024,1,1,BOSTER NUTRITION,"62,00"
0026,1,1,BOSTER CICAFIBRE,"68,00"
0027,1,1,BOSTER DISCIPLINE,"62,00"
0028,1,1,DIAMENT,
0029,1,1,NAKLADANIE AMPULKI,"7,00"
0030,1,1,"P.KWAS/ MOLEC WL.KR,SR","1,00"
0031,1,1,P.KWAS/ MOLEC WL.DL,"15,00"
0045,1,2,CZESANIE FANTAZYJNE,"5,00"
0041,1,2,SZCZOTKA WL KROTKIE,"23,50"
0042,1,2,SZCZOTKA WL SREDNIE,"23,50"
0043,1,2,SZCZOTKA WL DLUGIE,"23,50"
0044,1,2,LOKI/PROST/GOFRY/FALE,"20,00"
0046,1,2,CZESANIE WL PRZEDLUZANYCH,"10,00"
0047,1,2,NAKRECANIE WALKI,"25,00"
0048,1,2,UPIECIE WIECZOROWE WL SR,"90,00"
0049,1,2,UPIECIE WIECZOROWE WL DL,"100,00"
0050,1,2,UPIECIE WIECZOROWE WL B.DL,"75,00"
0051,1,2,UPIECIE SYLWESTROWE,"110,00"
0052,1,2,WARKOCZ,"10,00"
0053,1,2,STYLIZACJA,"3,00"
0055,1,1,BALEYAGE WL KROTKIE,"125,50"
0056,1,1,BALEYAGE WL SREDNNIE,"135,50"
0057,1,1,BALEYAGE WL DLUGIE,"145,50"
0058,1,1,NAKLADANIE BALEYAGE,"15,00"
0059,1,1,ODBARWIANIE WLOSY KROTKIE,"60,00"
0060,1,1,ODBARWIANIE WL SREDNIE,"70,00"
0061,1,1,ODBARWIANIE WL DLUGIE,"80,00"
0062,1,1,PASEMKA WLOSY KROTKIE,"125,50"
0063,1,1,PASEMKA WL SREDNIE,"135,50"
0064,1,1,PASEMKA WL DLUGIE,"145,50"
0065,1,1,NAKLADANIE PASEMEK,"20,00"
0068,1,1,DEMAKIJAZ 1 SZASZETKA,"30,00"
0069,1,1,MODYFIKACJA SASZETKA,"30,00"
0070,1,1,NAKLADANIE DEMAKIJAZ/MODYFIKAC,"5,00"
0071,1,1,KONTUR WOK.TWARZY,"75,00"
0073,1,1,ODBARWIANIE ODROSTOW DO 3CM,"40,00"
0074,1,1,NAKLADANIE ODBARWIANIA,"5,00"
0075,1,1,KOLORYZACJA WL KROTKIE,"110,00"
0076,1,1,KOLORYZACJA WL SREDNIE,"110,00"
0077,1,1,KOLORYZACJA WL DLUGIE,"141,00"
0078,1,1,NAKLADANIE KOLORU,"20,00"
0079,1,1,TONOWANIE 4DOZY,"20,00"
0080,1,1,PREKOLORYZACJA WL KR I SR,"45,00"
0081,1,1,BALEYAGE WL KROTKIE,"125,50"
0082,1,1,BALEYAGE WL SREDNIE,"135,50"
0083,1,1,BALEYAGE WL DLUGIE,"145,50"
0084,1,1,NAKLADANIE BALEYAGE.,"15,00"
0100,1,2,KLEJ PRZEDL. WLOS,
0099,1,2,KLEJ ZAGESZCZ WLOS,
0087,1,1,PREKOLORYZACJA WL. DL,"80,00"
0088,1,1,TRWALA WL KROTKIE,"45,00"
0089,1,1,TRWALA WL SREDNIE,"55,00"
0090,1,1,TRWALA WL DLUGIE,"65,00"
0091,1,1,ZABEZPIECZANIE,"40,00"
0092,1,1,TRWALA CZESCIOWA,"45,00"
0093,1,1,NAKRECANIE TRWALEJ,"20,00"
0094,1,2,ZDJECIE PASMA 1,"5,00"
0095,1,2,PRZEDLUZANIE WLOSOW,"500,00"
0096,1,2,WLOSY,"38,00"
0097,1,2,ZDJECIE WLOSOW,"350,00"
0098,1,2,ZAGESZCZANIE,"300,00"
0101,2,2,MYCIE LP,"11,50"
0102,2,2,MYCIE LECZNICZE,"11,50"
0103,2,2,MYCIE TECHNICZNE,"11,50"
0104,2,2,MYCIE SPECJALNE,"42,00"
0105,2,2,MYCIE JOICO,"7,00"
0106,2,2,MYCIE BE COLOR,"34,00"
0107,2,2,PRZYCIECIE WASOW,"5,00"
0108,2,2,PRZYCIECIE BRODA,"10,00"
0110,2,2,CIECIE CALOSCIOWE,"42,50"
0111,2,2,CIECIE BRODA FANTAZYJNIE,"15,00"
0112,2,1,KONCENTRAT OLEO-FUSION,"62,00"
0113,2,1,KONCENTRAT DESIFIQUE,"62,00"
0114,2,1,KONCENTRAT VITA-CEMENT,"62,00"
0115,2,1,AMPULKA AMINEXIL,"62,00"
0116,2,1,KONCENTRAT CHROMA/BLOND UV,"62,00"
0117,2,1,AMPULKA BE HAIR REB.LOTION,"42,00"
0119,2,1,NAKLADANIE MASKA,"5,00"
0120,2,1,MASKA KERASTASE,"50,00"
0122,2,1,ODZYWKA LUCIANO PIERANTONI,"3,00"
0124,2,1,BOSTER NUTRITION,"62,00"
0126,2,1,BOSTER CICAFIBRE,"68,00"
0127,2,1,BOSTER DISCIPLINE,"62,00"
0128,2,1,DIAMENT,
0129,2,1,NAKLADANIE AMPULKI,"7,00"
0130,2,1,K WATER,"1,00"
0010,1,2,CIECIE CALOSCIOWE,"58,00"
0141,2,2,SZCZOTKA WL KROTKIE,
0142,2,2,SZCZOTKA WL SREDNIE,"23,50"
0143,2,2,SZCZOTKA WL DLUGIE,"23,50"
0147,2,2,SUSZENIE,"5,00"
0007,1,2,STRZYZENIE 50 %,
0155,2,1,BALEYAGE WL KROTKIE,
0156,2,1,BALEYAGE WL SREDNIE,"125,50"
0157,2,1,BALEYAGE WL DLUGIE,"135,50"
0158,2,1,NAKLADANIE BALEYAGE,"145,50"
0159,2,1,ODBARWIANIE WL KROTKIE,"15,00"
0160,2,1,ODBARWIANIE WL SREDNIE,"60,00"
0161,2,1,ODBARWIANIE WL DLUGIE,"70,00"
0162,2,1,PASEMKA WL KROTKIE,"80,00"
0163,2,1,PASEMKA WL SREDNIE,"125,50"
0164,2,1,PASEMKA WL DLUGIE,"135,50"
0165,2,1,NAKLADANIE PASEMEK,"145,50"
0171,2,1,KONTUR WOK.TWARZY,"5,00"
0168,2,1,DEMAKIJAZ 1 SASZETKA,"20,00"
0169,2,1,MODYFIKACJA SASZETKA,"30,00"
