bundle_code,name,price,price_source,forfait_total_price,forfaits_price,sum_of_services,item_count
3331,CZESANIE WL KR,96.0,forfait_fic_items,96.0,96.0,105.0,3
3332,CZESANIE  WL SR,96.0,forfait_fic_items,96.0,96.0,115.0,3
3333,CZESANIE WL DL,96.0,forfait_fic_items,96.0,96.0,125.0,3
3334,STRZYZENIE WL KR,136.0,forfait_fic_items,136.0,136.0,180.0,4
3335,STRZYZENIE  WL SR,136.0,forfait_fic_items,136.0,136.0,190.0,4
3336,STRZYZENIE  WL DL,136.0,forfait_fic_items,136.0,136.0,200.0,4
3337,STRZYZENIE  PAN,99.0,forfait_fic_items,99.0,99.0,93.0,3
3338,STRZYZENIE STUDENTKA,99.0,forfait_fic_items,99.0,99.0,167.0,4
3339,STRZYZENIE STUDENT,89.0,forfait_fic_items,89.0,89.0,90.0,3
3340,STRZYZENIE CHLOPIEC DO 6LAT,79.0,forfait_fic_items,79.0,79.0,83.0,3
3341,STRZYZE CHLOPIEC NAST. DO 18L,79.0,forfait_fic_items,79.0,79.0,83.0,3
3342,STRZYZENIE DZIEWCZYNKA DO  6L,79.0,forfait_fic_items,79.0,79.0,150.0,3
3343,STRZYZENIE DZIEWCZYNKA DO 18 L,99.0,forfait_fic_items,99.0,99.0,160.0,4
3344,KOLOR WL KR+ CZESANIE,275.0,forfait_fic_items,275.0,275.0,330.0,5
3345,KOLOR WL SR+CZESANIE,295.0,forfait_fic_items,295.0,295.0,390.0,5
3346,KOLOR WL DL+CZESANIE,350.0,forfait_fic_items,350.0,350.0,450.0,5
3347,BALEYAGE WL KR ODB+CZES,295.0,forfait_fic_items,295.0,0.0,385.0,5
3348,BALEYAGE WL SR ODB+CZES,305.0,forfait_fic_items,305.0,305.0,435.0,5
3349,BALEYAGE WL DL ODB+CZES,370.0,forfait_fic_items,370.0,362.2,495.0,5
3350,BALEYAGE WL KR KOL+CZES,295.0,forfait_fic_items,295.0,295.0,385.0,5
3351,BALEYAGE WL SR KOL+CZES,305.0,forfait_fic_items,305.0,305.0,435.0,5
3352,BALEYAGE WL DL KOL+CZES,370.0,forfait_fic_items,370.0,360.0,495.0,5
3353,PASEMKA WL KR+CZES,305.0,forfait_fic_items,305.0,305.0,395.0,5
3354,PASEMKA WL SR+CZES,340.0,forfait_fic_items,340.0,340.0,445.0,5
3355,PASEMKA WL DL+CZES,390.0,forfait_fic_items,390.0,390.0,505.0,5
3356,BAL 2 KOL WL KR,375.0,forfait_fic_items,375.0,375.0,665.0,7
3357,BAL 2 KOL WL SR,415.0,forfait_fic_items,415.0,415.0,755.0,7
3358,BAL 2 KOL WL DL,460.0,forfait_fic_items,460.0,460.0,865.0,7
3359,KOLOR Z BALEYAGE WL. KR,375.0,forfait_fic_items,375.0,375.0,610.0,7
3360,KOLOR Z BALEYAGE WL. SR,415.0,forfait_fic_items,415.0,415.0,710.0,7
3361,KOLOR Z BALEYAGE WL. DL,460.0,forfait_fic_items,460.0,460.0,820.0,7
3362,CZES. WL.PRZEDLUZANYCH SR,147.0,forfait_fic_items,147.0,147.0,174.0,4
3363,CZES STYL AFRO,185.0,forfait_fic_items,185.0,0.0,325.0,6
3364,CZESANIE ASYSTENT,89.0,forfait_fic_items,89.0,69.0,115.0,3
3365,CZES WL KR/SR PRZDED/LOK/PROST,175.0,forfait_fic_items,175.0,175.0,274.0,5
3366,CZES WL DL/BDL PRZED/LOK/PROST,215.0,forfait_fic_items,215.0,215.0,334.0,6
3380,CZES WL PRZEDL DL,157.0,forfait_fic_items,157.0,157.0,174.0,4
3381,CZES PRZEDL B. DL,167.0,forfait_fic_items,167.0,0.0,174.0,4
3382,TRWALA ORGAN MESKA,300.0,forfait_fic_items,300.0,0.0,368.0,4
3383,TRWALA ORGAN KR,450.0,forfait_fic_items,450.0,450.0,630.0,5
3384,TRWALA ORGAN SR,650.0,forfait_fic_items,650.0,650.0,730.0,5
3385,TRWALA ORGAN DL,750.0,forfait_fic_items,750.0,750.0,930.0,5
3386,TRWALA ORGAN B. DL,1200.0,forfait_fic_items,1200.0,0.0,1230.0,5
3401,KOL OMBRE/SOMBRE WL SR,440.0,forfait_fic_items,440.0,440.0,710.0,7
3402,KOL OMBRE/SOMBRE WL DL,490.0,forfait_fic_items,490.0,490.0,800.0,7
3435,PAKIET DIAMENT,155.0,forfait_fic_items,155.0,155.0,159.0,2
3441,STRZYZENIE MESKIE MASZYNKA,79.0,forfait_fic_items,79.0,79.0,87.0,3
3457,PASEMKA +1 KOLOR WL.KR,385.0,forfait_fic_items,385.0,385.0,620.0,7
3458,PASEMKA + 1 KOLOR WL.SR,425.0,forfait_fic_items,425.0,425.0,720.0,7
3459,PASEMKA + 1 KOLOR WL.DL,475.0,forfait_fic_items,475.0,475.0,830.0,7
3480,3D PAS+2 KOLORY WL.KR,430.0,forfait_fic_items,430.0,430.0,900.0,9
3481,3D PAS+2 KOLORY SR,480.0,forfait_fic_items,480.0,480.0,1040.0,9
3482,3D PAS+ 2 KOLORY WL.DL,560.0,forfait_fic_items,560.0,560.0,1200.0,9
3493,ZMIANA KOLORU WL KR CZ. 1,600.0,forfait_fic_items,600.0,0.0,770.0,7
3494,ZMIANA KOLORU WL SR,700.0,forfait_fic_items,700.0,0.0,850.0,7
3495,ZMIANA KOLORU WL DL,800.0,forfait_fic_items,800.0,0.0,940.0,7
3555,PROM.W GODZ 7-13 PANI,99.0,forfait_fic_items,99.0,99.0,200.0,4
3559,ZMIANA KOLORU WL BDL,1000.0,forfait_fic_items,1000.0,0.0,1000.0,8
3562,PROST.KERA WL KR,500.0,forfait_fic_items,500.0,500.0,595.0,3
3563,PROST.KERA WL SR,600.0,forfait_fic_items,600.0,0.0,705.0,3
3564,PROST.KERA WL DL,700.0,forfait_fic_items,700.0,700.0,815.0,3
3574,MASKA+ AMP +BOS,179.0,forfait_fic_items,179.0,179.0,228.0,5
3579,COMBO DLA PANOW,400.0,forfait_fic_items,400.0,0.0,472.0,10
3580,KOL.PAN BE COLOR WL.KR,150.0,forfait_fic_items,150.0,0.0,153.0,4
3581,KOL.PAN BE COLOR WL.SR,150.0,forfait_fic_items,150.0,0.0,193.0,4
3582,KOL.PAN BE COLOR WL.D£,350.0,forfait_fic_items,350.0,0.0,233.0,4
3583,PAN KOL + BAL  WL.KR,250.0,forfait_fic_items,250.0,0.0,273.0,6
3584,PAN KOL + BAL  WL.SR,250.0,forfait_fic_items,250.0,0.0,363.0,6
3585,PAN KOL + BAL  WL.DL,350.0,forfait_fic_items,350.0,0.0,453.0,6
3597,FRONTBLOND WL KR,355.0,forfait_fic_items,355.0,0.0,765.0,6
3598,FRONTBLOND WL SR,375.0,forfait_fic_items,375.0,0.0,765.0,6
3599,FRONTBLOND WL DL,430.0,forfait_fic_items,430.0,0.0,775.0,6
3605,PERFECT BLOND KR,510.0,forfait_fic_items,510.0,0.0,970.0,9
3606,PERFECT BLOND SR,610.0,forfait_fic_items,610.0,0.0,1070.0,9
3607,PERFECT BLOND DL,710.0,forfait_fic_items,710.0,0.0,1180.0,9
3608,DOPLATA LOREAL,40.0,forfait_fic_items,40.0,40.0,40.0,1
3636,PROMOCJA MAN+PEDI+HYBRYDA+ZDJ,290.0,forfait_fic_items,290.0,290.0,315.0,3
3637,PIELEGNACJA MOLECULAR,149.0,forfait_fic_items,149.0,149.0,74.0,2
