service_code,name,service_type_code,service_type_label,grouping_code,grouping_label,family_code,family_label,vat_code,vat_label,duration_minutes,price,price_holiday,legacy_services_price_raw
0001,MYCIE LP,1,PANI,2,COIFFURE,00,MYCIE,1,°AVAT,10,25.0,25.0,"11,50"
0002,MYCIE LECZNICZE,1,PANI,2,COIFFURE,00,MYCIE,1,°AVAT,10,25.0,25.0,"11,50"
0003,MYCIE TECHNICZNE,1,PANI,2,COIFFURE,00,MYCIE,1,°AVAT,10,25.0,25.0,"11,50"
0004,MYCIE SPECJALNE,1,PANI,2,COIFFURE,00,MYCIE,1,°AVAT,10,25.0,25.0,"15,00"
0005,MYCIE JOICO,1,PANI,2,COIFFURE,00,MYCIE,1,°AVAT,10,25.0,25.0,
0006,MYCIE BE COLOR,1,PANI,2,COIFFURE,00,MYCIE,1,°AVAT,10,25.0,25.0,"34,00"
0007,STRZYZENIE 50 %,1,PANI,2,COIFFURE,@V@,,02,,1,89.0,89.0,
0008,WYROWNANIE-GRZYWKA,1,PANI,2,COIFFURE,02,COUPE,1,°AVAT,0,45.0,45.0,"25,00"
0009,ZMIANA WIZERUNKU,1,PANI,2,COIFFURE,02,COUPE,1,°AVAT,0,200.0,200.0,"30,00"
0010,CIECIE CALOSCIOWE,1,PANI,2,COIFFURE,02,COUPE,1,°AVAT,0,75.0,75.0,"58,00"
0011,AMPU£KA NUTRI/ORO/ARGAN,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,49.0,49.0,"0,00"
0012,KONCENTRAT OLEO-FUSION,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,118.0,118.0,"62,00"
0013,KONCENTRAT DENSIF/ CHROMA ABSO,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,118.0,118.0,"62,00"
0014,KONCENTRAT VITA-CEMENT,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,118.0,118.0,"62,00"
0015,AMPULKA AMINEXIL,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,59.0,59.0,"62,00"
0016,BOTOX KERASTASE,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,350.0,350.0,"62,00"
0017,KONCENTRAT BLOND UV,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,118.0,118.0,"42,00"
0018,MASKA LOREAL,1,PANI,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,64.0,64.0,"68,00"
0019,NAKLADANIE MASKA,1,PANI,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,15.0,15.0,"5,00"
0020,MASKA KERASTASE,1,PANI,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,64.0,64.0,"50,00"
0021,MASKA OLAPLEX,1,PANI,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,64.0,64.0,"50,00"
0022,ODZYWKA LUCIANO PIERANTONI,1,PANI,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,10.0,10.0,"3,00"
0023,BOSTER RECONSTRUCTION,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,11.0,11.0,"44,00"
0024,BOSTER NUTRITION,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,11.0,11.0,"62,00"
0025,BOSTER CHROMA ABSOLU,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,11.0,11.0,"42,00"
0026,BOSTER CICAFIBRE,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,11.0,11.0,"68,00"
0027,BOSTER DISCIPLINE,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,11.0,11.0,"62,00"
0028,DIAMENT,1,PANI,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,134.0,134.0,
0029,NAKLADANIE AMPULKI,1,PANI,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,20.0,20.0,"7,00"
0030,"P.KWAS/ MOLEC WL.KR,SR",1,PANI,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,39.0,39.0,"1,00"
0031,P.KWAS/ MOLEC WL.DL,1,PANI,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,49.0,49.0,"15,00"
0032,MASKA JOICO,1,PANI,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,64.0,64.0,"15,00"
