date_token,payment_hint,count,revenue
20260201,KARTA,160,6559.0
20260202,KARTA,190,7216.0
20260203,KARTA,120,5282.0
20260204,KARTA,34,1093.0
20260204,UNKNOWN,143,6999.0
20260205,UNKNOWN,197,8591.0
20260206,UNKNOWN,261,11158.0
20260207,UNKNOWN,223,8704.0
20260208,UNKNOWN,82,3690.0
20260209,UNKNOWN,227,9334.5
20260210,UNKNOWN,175,6083.0
20260211,UNKNOWN,207,7647.0
20260211,VOUCHER,4,102.0
20260212,KARTA,175,7551.0
20260212,UNKNOWN,77,3986.0
20260213,UNKNOWN,293,12155.0
20260214,UNKNOWN,269,11266.3
20260215,UNKNOWN,115,4669.0
20260216,UNKNOWN,237,9908.0
20260217,UNKNOWN,173,6728.0
20260218,KARTA,2,89.0
20260218,UNKNOWN,212,9026.0
20260219,UNKNOWN,278,12228.0
20260220,UNKNOWN,258,11289.0
20260221,UNKNOWN,206,9217.0
20260222,UNKNOWN,118,4824.0
20260223,UNKNOWN,151,7307.0
20260224,UNKNOWN,165,6882.0
20260225,UNKNOWN,130,3846.0
