row_index,date_token,bundle_code,bundle_name,price
0,20251001,3333,PAKIET WL DL,96.0
1,20251001,3555,PROM.W GODZ 7-13 PANI,99.0
2,20251001,3555,PROM.W GODZ 7-13 PANI,99.0
3,20251001,3555,PROM.W GODZ 7-13 PANI,99.0
4,20251001,3555,PROM.W GODZ 7-13 PANI,99.0
5,20251001,3555,PROM.W GODZ 7-13 PANI,99.0
6,20251001,3333,PAKIET WL DL,96.0
7,20251001,3555,PROM.W GODZ 7-13 PANI,99.0
8,20251001,3555,PROM.W GODZ 7-13 PANI,99.0
9,20251001,3555,PROM.W GODZ 7-13 PANI,99.0
10,20251001,3555,PROM.W GODZ 7-13 PANI,99.0
11,20251001,3555,PROM.W GODZ 7-13 PANI,99.0
12,20251001,3555,PROM.W GODZ 7-13 PANI,99.0
13,20251001,3333,PAKIET WL DL,96.0
14,20251001,3555,PROM.W GODZ 7-13 PANI,99.0
15,20251001,3345,KOLOR WL SR+CZESANIE,295.0
16,20251001,3333,PAKIET WL DL,96.0
17,20251001,3333,PAKIET WL DL,96.0
18,20251001,3651,STRZ NOWA WLOSKA KOLEKCJA,149.0
19,20251001,3333,PAKIET WL DL,96.0
20,20251001,3651,STRZ NOWA WLOSKA KOLEKCJA,149.0
21,20251001,3333,PAKIET WL DL,96.0
22,20251001,3336,PAKIET  WL DL,129.0
23,20251001,3333,PAKIET WL DL,96.0
24,20251001,3643,MASKA KERASTASE DO PAKIETU,1.0
25,20251001,3345,KOLOR WL SR+CZESANIE,295.0
26,20251001,3643,MASKA KERASTASE DO PAKIETU,1.0
27,20251001,3345,KOLOR WL SR+CZESANIE,295.0
28,20251001,3355,PASEMKA WL DL+CZES,390.0
29,20251001,3336,PAKIET  WL DL,129.0
30,20251001,3336,PAKIET  WL DL,129.0
31,20251001,3337,PAKIET  PAN,99.0
32,20251001,3336,PAKIET  WL DL,129.0
33,20251001,3643,MASKA KERASTASE DO PAKIETU,1.0
34,20251001,3345,KOLOR WL SR+CZESANIE,295.0
35,20251001,3652,STRZ DO PAKIETU,110.0
36,20251001,3459,PASEMKA + 1 KOLOR WL.DL,470.0
37,20251001,3643,MASKA KERASTASE DO PAKIETU,1.0
38,20251001,3346,KOLOR WL DL+CZESANIE,350.0
39,20251001,3458,PASEMKA + 1 KOLOR WL.SR,425.0
40,20251001,3332,PAKIET  WL SR,96.0
41,20251001,3364,CZESANIE ASYSTENT,69.0
42,20251001,3336,PAKIET  WL DL,129.0
43,20251001,3337,PAKIET  PAN,99.0
44,20251001,3459,PASEMKA + 1 KOLOR WL.DL,470.0
45,20251001,3459,PASEMKA + 1 KOLOR WL.DL,470.0
46,20251001,3652,STRZ DO PAKIETU,110.0
47,20251001,3343,DZIEWCZYNKA DO 18 LAT,99.0
48,20251002,3337,PAKIET  PAN,99.0
49,20251002,3332,PAKIET  WL SR,96.0
50,20251002,3555,PROM.W GODZ 7-13 PANI,99.0
51,20251002,3337,PAKIET  PAN,99.0
52,20251002,3332,PAKIET  WL SR,96.0
53,20251002,3332,PAKIET  WL SR,96.0
54,20251002,3337,PAKIET  PAN,99.0
55,20251002,3332,PAKIET  WL SR,96.0
56,20251002,3345,KOLOR WL SR+CZESANIE,295.0
57,20251002,3555,PROM.W GODZ 7-13 PANI,99.0
58,20251002,3346,KOLOR WL DL+CZESANIE,350.0
59,20251002,3555,PROM.W GODZ 7-13 PANI,99.0
60,20251002,3555,PROM.W GODZ 7-13 PANI,99.0
61,20251002,3555,PROM.W GODZ 7-13 PANI,99.0
62,20251002,3643,MASKA KERASTASE DO PAKIETU,1.0
63,20251002,3555,PROM.W GODZ 7-13 PANI,99.0
64,20251002,3345,KOLOR WL SR+CZESANIE,295.0
65,20251002,3637,PIELEGNACJA MOLECULAR,139.0
66,20251002,3555,PROM.W GODZ 7-13 PANI,99.0
67,20251002,3555,PROM.W GODZ 7-13 PANI,99.0
68,20251002,3337,PAKIET  PAN,99.0
69,20251002,3651,STRZ NOWA WLOSKA KOLEKCJA,149.0
70,20251002,3338,PAKIET STUDENTKA,99.0
71,20251002,3333,PAKIET WL DL,96.0
72,20251002,3334,PAKIET WL KR,129.0
73,20251002,3355,PASEMKA WL DL+CZES,390.0
74,20251002,3337,PAKIET  PAN,99.0
75,20251002,3364,CZESANIE ASYSTENT,69.0
76,20251002,3335,PAKIET  WL SR,129.0
77,20251002,3346,KOLOR WL DL+CZESANIE,350.0
78,20251002,3608,DOP£ATA LOREAL,40.0
79,20251002,3652,STRZ DO PAKIETU,110.0
80,20251002,3643,MASKA KERASTASE DO PAKIETU,1.0
81,20251002,3651,STRZ NOWA WLOSKA KOLEKCJA,149.0
82,20251002,3360,KOLOR Z BALEYAGE WL. SR,415.0
83,20251002,3345,KOLOR WL SR+CZESANIE,295.0
84,20251002,3353,PASEMKA WL KR+CZES,305.0
85,20251002,3555,PROM.W GODZ 7-13 PANI,99.0
86,20251002,3346,KOLOR WL DL+CZESANIE,350.0
87,20251002,3651,STRZ NOWA WLOSKA KOLEKCJA,149.0
88,20251002,3343,DZIEWCZYNKA DO 18 LAT,99.0
89,20251003,3331,PAKIET  WL KR,96.0
90,20251003,3364,CZESANIE ASYSTENT,69.0
91,20251003,3331,PAKIET  WL KR,96.0
92,20251003,3331,PAKIET  WL KR,96.0
93,20251003,3337,PAKIET  PAN,99.0
94,20251003,3364,CZESANIE ASYSTENT,69.0
95,20251003,3555,PROM.W GODZ 7-13 PANI,99.0
96,20251003,3555,PROM.W GODZ 7-13 PANI,99.0
97,20251003,3364,CZESANIE ASYSTENT,69.0
98,20251003,3555,PROM.W GODZ 7-13 PANI,99.0
99,20251003,3331,PAKIET  WL KR,96.0
100,20251003,3332,PAKIET  WL SR,0.0
101,20251003,3555,PROM.W GODZ 7-13 PANI,99.0
102,20251003,3555,PROM.W GODZ 7-13 PANI,99.0
103,20251003,3364,CZESANIE ASYSTENT,69.0
104,20251003,3360,KOLOR Z BALEYAGE WL. SR,415.0
105,20251003,3337,PAKIET  PAN,99.0
106,20251003,3555,PROM.W GODZ 7-13 PANI,99.0
107,20251003,3555,PROM.W GODZ 7-13 PANI,99.0
108,20251003,3336,PAKIET  WL DL,129.0
109,20251003,3346,KOLOR WL DL+CZESANIE,350.0
110,20251003,3652,STRZ DO PAKIETU,110.0
111,20251003,3555,PROM.W GODZ 7-13 PANI,99.0
112,20251003,3332,PAKIET  WL SR,0.0
113,20251003,3651,STRZ NOWA WLOSKA KOLEKCJA,149.0
114,20251003,3336,PAKIET  WL DL,129.0
115,20251003,3344,KOLOR WL KR+ CZESANIE,275.0
116,20251003,3643,MASKA KERASTASE DO PAKIETU,0.0
117,20251003,3332,PAKIET  WL SR,96.0
118,20251003,3364,CZESANIE ASYSTENT,69.0
119,20251003,3345,KOLOR WL SR+CZESANIE,295.0
120,20251003,3643,MASKA KERASTASE DO PAKIETU,0.0
121,20251003,3336,PAKIET  WL DL,129.0
122,20251003,3332,PAKIET  WL SR,96.0
123,20251003,3458,PASEMKA + 1 KOLOR WL.SR,425.0
124,20251003,3608,DOP£ATA LOREAL,40.0
125,20251003,3346,KOLOR WL DL+CZESANIE,350.0
126,20251003,3357,BAL 2 KOL WL SR,405.0
127,20251003,3652,STRZ DO PAKIETU,110.0
128,20251003,3458,PASEMKA + 1 KOLOR WL.SR,425.0
129,20251003,3336,PAKIET  WL DL,129.0
130,20251003,3336,PAKIET  WL DL,129.0
131,20251003,3574,MASKA+ AMP +BOS,179.0
132,20251003,3335,PAKIET  WL SR,129.0
133,20251003,3335,PAKIET  WL SR,129.0
134,20251003,3574,MASKA+ AMP +BOS,179.0
135,20251004,3362,CZES. WL.PRZEDLUZANYCH,137.0
136,20251004,3355,PASEMKA WL DL+CZES,390.0
137,20251004,3336,PAKIET  WL DL,129.0
138,20251004,3335,PAKIET  WL SR,129.0
139,20251004,3337,PAKIET  PAN,0.0
140,20251004,3331,PAKIET  WL KR,96.0
141,20251004,3337,PAKIET  PAN,99.0
142,20251004,3343,DZIEWCZYNKA DO 18 LAT,99.0
143,20251004,3346,KOLOR WL DL+CZESANIE,350.0
144,20251004,3331,PAKIET  WL KR,96.0
145,20251004,3333,PAKIET WL DL,63.7
146,20251004,3331,PAKIET  WL KR,96.0
147,20251004,3340,CHLOPIEC DO 6LAT,79.0
148,20251004,3336,PAKIET  WL DL,129.0
149,20251004,3341,CHLOPIEC NAST. DO 18LAT,79.0
150,20251004,3337,PAKIET  PAN,99.0
151,20251004,3333,PAKIET WL DL,0.0
152,20251004,3336,PAKIET  WL DL,129.0
153,20251004,3332,PAKIET  WL SR,96.0
154,20251004,3335,PAKIET  WL SR,129.0
155,20251004,3435,PAKIET DIAMENT,149.0
156,20251004,3337,PAKIET  PAN,99.0
157,20251004,3333,PAKIET WL DL,96.0
158,20251004,3333,PAKIET WL DL,96.0
159,20251004,3346,KOLOR WL DL+CZESANIE,350.0
160,20251004,3331,PAKIET  WL KR,96.0
161,20251004,3345,KOLOR WL SR+CZESANIE,295.0
162,20251004,3336,PAKIET  WL DL,129.0
163,20251004,3335,PAKIET  WL SR,129.0
