service_code,service_name,qty,revenue
0001,MYCIE LP,14,8553.56
0002,MYCIE LECZNICZE,3,93.0
0003,MYCIE TECHNICZNE,13,5321.99
0004,MYCIE SPECJALNE,1,49.68
0006,MYCIE BE COLOR,7,275.84
0007,STRZYZENIE 50 %,9,16371.86
0008,WYROWNANIE-GRZYWKA,6,495.0
0010,CIECIE CALOSCIOWE,12,12768.54
0012,KONCENTRAT OLEO-FUSION,8,2374.09
0013,KONCENTRAT DENSIF/ CHROMA ABSO,5,1257.0
0014,KONCENTRAT VITA-CEMENT,2,472.0
0018,MASKA LOREAL,2,192.0
0019,NAKLADANIE MASKA,12,976.73
0020,MASKA KERASTASE,10,1151.08
0021,MASKA OLAPLEX,3,192.0
0022,ODZYWKA LUCIANO PIERANTONI,14,3148.84
0024,BOSTER NUTRITION,6,126.02
0025,BOSTER CHROMA ABSOLU,4,55.0
0026,BOSTER CICAFIBRE,3,44.0
0027,BOSTER DISCIPLINE,6,238.32
0028,DIAMENT,2,257.08
0029,NAKLADANIE AMPULKI,10,999.86
0031,P.KWAS/ MOLEC WL.DL,1,372.0
0033,KONCENTRAT CURL MANIFESTO,6,1061.45
0034,BOSTER GENESIS,8,217.0
0035,CIECIE DZIEWCZYNA,8,798.0
0037,CIECIE STUDENTKA,4,255.0
0040,MASKA BE COLOR / RR,8,1005.8
0041,SZCZOTKA WL KROTKIE,8,2154.2
0042,SZCZOTKA WL SREDNIE,10,9362.74
0043,SZCZOTKA WL DLUGIE,11,20938.9
0044,LOKI/PROST/GOFRY/FALE,4,543.0
0046,CZESANIE WL PRZEDLUZANYCH,6,931.46
0048,UPIECIE WIECZOROWE WL SR,2,600.0
0051,UPIECIE SYLWESTROWE,1,148.14
0052,WARKOCZ,1,120.0
0053,STYLIZACJA,11,2016.56
0054,STYLYZACJA SYLWESTROWA,1,15.0
0055,BALEYAGE WL KROTKIE,1,120.0
0056,BALEYAGE WL SREDNNIE,5,1189.08
0057,BALEYAGE WL DLUGIE,5,1160.0
0058,NAKLADANIE BALEYAGE,7,332.21
0060,ODBARWIANIE WL SREDNIE,1,90.0
0061,ODBARWIANIE WL DLUGIE,2,458.14
0062,PASEMKA WLOSY KROTKIE,2,501.0
0063,PASEMKA WL SREDNIE,6,2521.77
0064,PASEMKA WL DLUGIE,9,5915.16
0065,NAKLADANIE PASEMEK,9,1609.07
0066,OLAPLEX/SMARTBOND,5,379.5
0067,DOPLATA DO LOREAL,5,520.0
0073,ODBARWIANIE ODROSTOW DO 3CM,1,83.0
0074,NAKLADANIE ODBARWIANIA,2,29.88
0075,KOLORYZACJA WL KROTKIE,4,3053.29
0076,KOLORYZACJA WL SREDNIE,9,18220.18
0077,KOLORYZACJA WL DLUGIE,9,22923.3
0078,NAKLADANIE KOLORU,12,5176.51
0079,TONOWANIE 4DOZY,2,270.0
0082,BALEYAGE WL SREDNIE,3,486.78
0083,BALEYAGE WL DLUGIE,5,630.0
0084,NAKLADANIE BALEYAGE.,5,167.21
0086,DOPLATA WLOSY BARDZO DLUGIE,2,150.0
